# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 15:34:28 2018
#
# CONSTRAINT:  where (pl_pnum > 1
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_angsep:      Calculated Angular Separation [mas]
# COLUMN pl_angseperr1:  Calculated Angular Separation Upper Unc. [mas]
# COLUMN pl_angseperr2:  Calculated Angular Separation Lower Unc. [mas]
# COLUMN pl_orbtper:     Time of Periastron [days]
# COLUMN pl_orbtpererr1: Time of Periastron Upper Unc. [days]
# COLUMN pl_orbtpererr2: Time of Periastron Lower Unc. [days]
# COLUMN pl_orbtperlim:  Time of Periastron Limit Flag
# COLUMN pl_orblper:     Long. of Periastron [deg]
# COLUMN pl_orblpererr1: Long. of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Long. of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Long. of Periastron Limit Flag
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamperr2:   Radial Velocity Amplitude Lower Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_msinijerr1:  Planet M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_msinijerr2:  Planet M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_msinijlim:   Planet M*sin(i) Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_tsystemref:  Time System Reference
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
#
loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_angsep,pl_angseperr1,pl_angseperr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_facility,st_dens,st_denserr1,st_denserr2,st_denslim
2228,Kepler-234,c,Kepler-234 c,Transit,2,7.21205000,0.00002200,-0.00002200,0,0.077000,,,0,,,,,,,,,,,,,,0.313,0.139,-0.139,0,,,,,0,1,0,1,19h26m36.84s,291.653519,+38d29m40.8s,38.494659,1651.00,438.02,-191.68,0,15.541,,0,Kepler-band,15.501,,0,6224.00,200.00,-200.00,0,,,,,1.11,0.49,-0.49,0,2014-05-14,4.66000e-02,8.890000e-03,-8.890000e-03,,,,,,,,,,,,,,,,,,,,,2455005.816640,0.001780,-0.001780,0,BJD,Kepler,,,,
2229,Kepler-235,b,Kepler-235 b,Transit,4,3.34022200,0.00000500,-0.00000500,0,0.037000,,,0,,,,,,,,,,,,,,0.199,0.009,-0.009,0,,,,,0,1,0,1,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,369.00,21.66,-22.32,0,15.954,,0,Kepler-band,15.969,,0,4255.00,100.00,-100.00,0,,,,,0.55,0.02,-0.02,0,2014-05-14,1.00000e-01,6.000000e-03,-6.000000e-03,,,,,,,,,,,,,,,,,,,,,2455004.977870,0.000840,-0.000840,0,BJD,Kepler,,,,
2230,Kepler-235,c,Kepler-235 c,Transit,4,7.82490400,0.00005500,-0.00005500,0,0.065000,,,0,,,,,,,,,,,,,,0.114,0.007,-0.007,0,,,,,0,1,0,1,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,369.00,21.66,-22.32,0,15.954,,0,Kepler-band,15.969,,0,4255.00,100.00,-100.00,0,,,,,0.55,0.02,-0.02,0,2014-05-14,1.76000e-01,1.050000e-02,-1.050000e-02,,,,,,,,,,,,,,,,,,,,,2454969.555670,0.004550,-0.004550,0,BJD,Kepler,,,,
2231,Kepler-235,d,Kepler-235 d,Transit,4,20.06054800,0.00009900,-0.00009900,0,0.122000,,,0,,,,,,,,,,,,,,0.183,0.009,-0.009,0,,,,,0,1,0,1,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,369.00,21.66,-22.32,0,15.954,,0,Kepler-band,15.969,,0,4255.00,100.00,-100.00,0,,,,,0.55,0.02,-0.02,0,2014-05-14,3.31000e-01,1.970000e-02,-1.970000e-02,,,,,,,,,,,,,,,,,,,,,2454980.461490,0.002760,-0.002760,0,BJD,Kepler,,,,
2232,Kepler-235,e,Kepler-235 e,Transit,4,46.18366900,0.00042500,-0.00042500,0,0.213000,,,0,,,,,,,,,,,,,,0.198,0.026,-0.026,0,,,,,0,1,0,1,19h04m18.98s,286.079103,+39d16m41.9s,39.278313,369.00,21.66,-22.32,0,15.954,,0,Kepler-band,15.969,,0,4255.00,100.00,-100.00,0,,,,,0.55,0.02,-0.02,0,2014-05-14,5.77000e-01,3.440000e-02,-3.440000e-02,,,,,,,,,,,,,,,,,,,,,2454998.239320,0.005010,-0.005010,0,BJD,Kepler,,,,
2233,Kepler-236,b,Kepler-236 b,Transit,2,8.29561100,0.00003200,-0.00003200,0,0.065000,,,0,,,,,,,,,,,,,,0.140,0.011,-0.011,0,,,,,0,1,0,1,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,265.00,11.41,-13.43,0,15.414,,0,Kepler-band,15.374,,0,3750.00,150.00,-150.00,0,,,,,0.51,0.02,-0.02,0,2014-05-14,2.45000e-01,1.150000e-02,-1.150000e-02,,,,,,,,,,,,,,,,,,,,,2454968.792070,0.002300,-0.002300,0,BJD,Kepler,,,,
2234,Kepler-236,c,Kepler-236 c,Transit,2,23.96812700,0.00017400,-0.00017400,0,0.132000,,,0,,,,,,,,,,,,,,0.178,0.015,-0.015,0,,,,,0,1,0,1,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,265.00,11.41,-13.43,0,15.414,,0,Kepler-band,15.374,,0,3750.00,150.00,-150.00,0,,,,,0.51,0.02,-0.02,0,2014-05-14,4.98000e-01,2.330000e-02,-2.330000e-02,,,,,,,,,,,,,,,,,,,,,2455019.216900,0.003620,-0.003620,0,BJD,Kepler,,,,
2235,Kepler-237,b,Kepler-237 b,Transit,2,4.71510600,0.00003000,-0.00003000,0,0.050000,,,0,,,,,,,,,,,,,,0.126,0.067,-0.067,0,,,,,0,1,0,1,18h52m53.13s,283.221387,+40d25m18.6s,40.421834,647.00,28.73,-28.89,0,15.289,,0,Kepler-band,15.283,,0,4861.00,200.00,-200.00,0,,,,,0.72,0.38,-0.38,0,2014-05-14,7.73000e-02,3.440000e-03,-3.440000e-03,,,,,,,,,,,,,,,,,,,,,2454967.959920,0.003960,-0.003960,0,BJD,Kepler,,,,
2236,Kepler-237,c,Kepler-237 c,Transit,2,8.10363600,0.00003200,-0.00003200,0,0.071000,,,0,,,,,,,,,,,,,,0.186,0.098,-0.098,0,,,,,0,1,0,1,18h52m53.13s,283.221387,+40d25m18.6s,40.421834,647.00,28.73,-28.89,0,15.289,,0,Kepler-band,15.283,,0,4861.00,200.00,-200.00,0,,,,,0.72,0.38,-0.38,0,2014-05-14,1.10000e-01,4.900000e-03,-4.900000e-03,,,,,,,,,,,,,,,,,,,,,2455009.948050,0.002370,-0.002370,0,BJD,Kepler,,,,
2237,Kepler-238,b,Kepler-238 b,Transit,5,2.09087600,0.00002000,-0.00002000,0,0.034000,,,0,,,,,,,,,,,,,,0.154,0.036,-0.036,0,,,,,0,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1369.00,237.05,-196.82,0,15.084,,0,Kepler-band,15.024,,0,5751.00,100.00,-100.00,0,,,,,1.43,0.26,-0.26,0,2014-05-14,2.48000e-02,3.940000e-03,-3.940000e-03,,,,,,,,,,,,,,,,,,,,,2454967.164700,0.005530,-0.005530,0,BJD,Kepler,,,,
2238,Kepler-238,c,Kepler-238 c,Transit,5,6.15555700,0.00005000,-0.00005000,0,0.069000,,,0,,,,,,,,,,,,,,0.213,0.040,-0.040,0,,,,,0,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1369.00,237.05,-196.82,0,15.084,,0,Kepler-band,15.024,,0,5751.00,100.00,-100.00,0,,,,,1.43,0.26,-0.26,0,2014-05-14,5.04000e-02,7.990000e-03,-7.990000e-03,,,,,,,,,,,,,,,,,,,,,2454967.823220,0.004460,-0.004460,0,BJD,Kepler,,,,
2239,Kepler-238,d,Kepler-238 d,Transit,5,13.23354900,0.00008100,-0.00008100,0,0.115000,,,0,,,,,,,,,,,,,,0.274,0.051,-0.051,0,,,,,0,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1369.00,237.05,-196.82,0,15.084,,0,Kepler-band,15.024,,0,5751.00,100.00,-100.00,0,,,,,1.43,0.26,-0.26,0,2014-05-14,8.40000e-02,1.330000e-02,-1.330000e-02,,,,,,,,,,,,,,,,,,,,,2454973.321790,0.003650,-0.003650,0,BJD,Kepler,,,,
2240,Kepler-238,e,Kepler-238 e,Transit,5,23.65400000,,,0,,,,,,,,,,,,,0.53400,0.22600,-0.21700,0,Mass,0.500,0.211,-0.041,0,,,,,1,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1369.00,237.05,-196.82,0,15.084,,0,Kepler-band,15.024,,0,5751.00,100.00,-100.00,0,,,,,1.43,0.26,-0.26,0,2014-05-14,,,,,,,,,,,,,,,,0.53400,0.22600,-0.21700,0,,,,,,,,,,Kepler,,,,
2241,Kepler-238,f,Kepler-238 f,Transit,5,50.44700000,,,0,,,,,,,,,,,,,0.04200,0.00900,-0.00800,0,Mass,0.178,0.076,-0.015,0,,,,,1,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1369.00,237.05,-196.82,0,15.084,,0,Kepler-band,15.024,,0,5751.00,100.00,-100.00,0,,,,,1.43,0.26,-0.26,0,2014-05-14,,,,,,,,,,,,,,,,0.04200,0.00900,-0.00800,0,,,,,,,,,,Kepler,,,,
2242,Kepler-239,b,Kepler-239 b,Transit,2,11.76305100,0.00003400,-0.00003400,0,0.095000,,,0,,,,,,,,,,,,,,0.208,0.013,-0.013,0,,,,,0,1,0,1,19h36m48.51s,294.202137,+40d39m48.3s,40.663406,658.00,17.14,-16.06,0,15.208,,0,Kepler-band,15.233,,0,4914.00,100.00,-100.00,0,,,,,0.76,0.04,-0.04,0,2014-05-14,1.44000e-01,3.600000e-03,-3.600000e-03,,,,,,,,,,,,,,,,,,,,,2455013.936140,0.001430,-0.001430,0,BJD,Kepler,,,,
2243,Kepler-239,c,Kepler-239 c,Transit,2,56.22809800,0.00058000,-0.00058000,0,0.268000,,,0,,,,,,,,,,,,,,0.224,0.037,-0.037,0,,,,,0,1,0,1,19h36m48.51s,294.202137,+40d39m48.3s,40.663406,658.00,17.14,-16.06,0,15.208,,0,Kepler-band,15.233,,0,4914.00,100.00,-100.00,0,,,,,0.76,0.04,-0.04,0,2014-05-14,4.07000e-01,1.030000e-02,-1.030000e-02,,,,,,,,,,,,,,,,,,,,,2454965.288140,0.005750,-0.005750,0,BJD,Kepler,,,,
2244,Kepler-24,b,Kepler-24 b,Transit,4,8.14530000,,,0,0.080000,,,0,,,,,,,,,1.60000,,,1,Mass,0.214,,,0,,,,,1,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1200.00,,,0,14.925,,0,Kepler-band,14.923,,0,5897.00,219.00,-219.00,0,,,,,1.29,0.29,-0.29,0,2014-05-14,6.67000e-02,,,,,,,,,,,,,,,1.60000,,,1,,,,,2454973.568900,,,0,BJD,Kepler,,,,
2245,Kepler-24,c,Kepler-24 c,Transit,4,12.33350000,,,0,0.106000,,,0,,,,,,,,,1.60000,,,1,Mass,0.250,,,0,,,,,1,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1200.00,,,0,14.925,,0,Kepler-band,14.923,,0,5897.00,219.00,-219.00,0,,,,,1.29,0.29,-0.29,0,2014-05-14,8.83000e-02,,,,,,,,,,,,,,,1.60000,,,1,,,,,2454970.586000,,,0,BJD,Kepler,,,,
2246,Kepler-24,d,Kepler-24 d,Transit,4,4.24438400,0.00005300,-0.00005300,0,0.051000,,,0,,,,,,,,,,,,,,0.149,0.035,-0.035,0,,,,,0,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1200.00,,,0,14.925,,0,Kepler-band,14.923,,0,5897.00,219.00,-219.00,0,,,,,1.29,0.29,-0.29,0,2014-05-14,4.25000e-02,,,,,,,,,,,,,,,,,,,,,,,2454970.064110,0.006800,-0.006800,0,BJD,Kepler,,,,
2247,Kepler-24,e,Kepler-24 e,Transit,4,18.99835500,0.00015700,-0.00015700,0,0.138000,,,0,,,,,,,,,,,,,,0.248,0.057,-0.057,0,,,,,0,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1200.00,,,0,14.925,,0,Kepler-band,14.923,,0,5897.00,219.00,-219.00,0,,,,,1.29,0.29,-0.29,0,2014-05-14,1.15000e-01,,,,,,,,,,,,,,,,,,,,,,,2454977.743570,0.005550,-0.005550,0,BJD,Kepler,,,,
2248,Kepler-240,b,Kepler-240 b,Transit,2,4.14449500,0.00002600,-0.00002600,0,0.048000,,,0,,,,,,,,,,,,,,0.122,0.050,-0.050,0,,,,,0,1,0,1,19h24m38.11s,291.158774,+40d45m00.9s,40.750263,738.00,34.57,-39.45,0,15.660,,0,Kepler-band,15.662,,0,4985.00,200.00,-200.00,0,,,,,0.74,0.30,-0.30,0,2014-05-14,6.50000e-02,3.260000e-03,-3.260000e-03,,,,,,,,,,,,,,,,,,,,,2454968.926580,0.003370,-0.003370,0,BJD,Kepler,,,,
2249,Kepler-240,c,Kepler-240 c,Transit,2,7.95352800,0.00002500,-0.00002500,0,0.074000,,,0,,,,,,,,,,,,,,0.196,0.079,-0.079,0,,,,,0,1,0,1,19h24m38.11s,291.158774,+40d45m00.9s,40.750263,738.00,34.57,-39.45,0,15.660,,0,Kepler-band,15.662,,0,4985.00,200.00,-200.00,0,,,,,0.74,0.30,-0.30,0,2014-05-14,1.00000e-01,5.000000e-03,-5.000000e-03,,,,,,,,,,,,,,,,,,,,,2455007.661550,0.001840,-0.001840,0,BJD,Kepler,,,,
2250,Kepler-241,b,Kepler-241 b,Transit,2,12.71809200,0.00003500,-0.00003500,0,0.094000,,,0,,,,,,,,,,,,,,0.208,0.092,-0.092,0,,,,,0,1,0,1,19h31m39.15s,292.913118,+41d03m39.3s,41.060921,512.00,30.26,-37.66,0,15.389,,0,Kepler-band,15.387,,0,4699.00,200.00,-200.00,0,,,,,0.67,0.29,-0.29,0,2014-05-14,1.84000e-01,1.220000e-02,-1.220000e-02,,,,,,,,,,,,,,,,,,,,,2455008.354180,0.001630,-0.001630,0,BJD,Kepler,,,,
2251,Kepler-241,c,Kepler-241 c,Transit,2,36.06597800,0.00013300,-0.00013300,0,0.189000,,,0,,,,,,,,,,,,,,0.229,0.099,-0.099,0,,,,,0,1,0,1,19h31m39.15s,292.913118,+41d03m39.3s,41.060921,512.00,30.26,-37.66,0,15.389,,0,Kepler-band,15.387,,0,4699.00,200.00,-200.00,0,,,,,0.67,0.29,-0.29,0,2014-05-14,3.69000e-01,2.450000e-02,-2.450000e-02,,,,,,,,,,,,,,,,,,,,,2455031.581850,0.001930,-0.001930,0,BJD,Kepler,,,,
2252,Kepler-242,b,Kepler-242 b,Transit,2,8.20395000,0.00002000,-0.00002000,0,0.075000,,,0,,,,,,,,,,,,,,0.233,0.143,-0.143,0,,,,,0,1,0,1,19h06m15.77s,286.565695,+41d48m30.3s,41.808403,670.00,31.59,-32.28,0,15.376,,0,Kepler-band,15.349,,0,5020.00,200.00,-200.00,0,,,,,0.85,0.52,-0.52,0,2014-05-14,1.12000e-01,5.300000e-03,-5.300000e-03,,,,,,,,,,,,,,,,,,,,,2455002.691170,0.001390,-0.001390,0,BJD,Kepler,,,,
2253,Kepler-242,c,Kepler-242 c,Transit,2,14.49648100,0.00008300,-0.00008300,0,0.109000,,,0,,,,,,,,,,,,,,0.178,0.110,-0.110,0,,,,,0,1,0,1,19h06m15.77s,286.565695,+41d48m30.3s,41.808403,670.00,31.59,-32.28,0,15.376,,0,Kepler-band,15.349,,0,5020.00,200.00,-200.00,0,,,,,0.85,0.52,-0.52,0,2014-05-14,1.63000e-01,7.800000e-03,-7.800000e-03,,,,,,,,,,,,,,,,,,,,,2454976.413480,0.003460,-0.003460,0,BJD,Kepler,,,,
2254,Kepler-243,b,Kepler-243 b,Transit,2,5.71544200,0.00001100,-0.00001100,0,0.062000,,,0,,,,,,,,,,,,,,0.219,0.103,-0.103,0,,,,,0,1,0,1,19h00m26.51s,285.110470,+42d02m02.2s,42.033958,669.00,38.09,-35.99,0,15.086,,0,Kepler-band,15.057,,0,5228.00,200.00,-200.00,0,,,,,0.84,0.40,-0.40,0,2014-05-14,9.27000e-02,5.130000e-03,-5.130000e-03,,,,,,,,,,,,,,,,,,,,,2455007.878320,0.001090,-0.001090,0,BJD,Kepler,,,,
2255,Kepler-243,c,Kepler-243 c,Transit,2,20.02621800,0.00016300,-0.00016300,0,0.142000,,,0,,,,,,,,,,,,,,0.178,0.087,-0.087,0,,,,,0,1,0,1,19h00m26.51s,285.110470,+42d02m02.2s,42.033958,669.00,38.09,-35.99,0,15.086,,0,Kepler-band,15.057,,0,5228.00,200.00,-200.00,0,,,,,0.84,0.40,-0.40,0,2014-05-14,2.12000e-01,1.180000e-02,-1.180000e-02,,,,,,,,,,,,,,,,,,,,,2454979.907670,0.004040,-0.004040,0,BJD,Kepler,,,,
2256,Kepler-244,b,Kepler-244 b,Transit,3,4.31179200,0.00000800,-0.00000800,0,0.050000,,,0,,,,,,,,,,,,,,0.246,0.103,-0.103,0,,,,,0,1,0,1,19h08m58.24s,287.242680,+42d18m04.9s,42.301369,928.00,76.23,-84.44,0,15.604,,0,Kepler-band,15.545,,0,5554.00,200.00,-200.00,0,,,,,0.80,0.34,-0.34,0,2014-05-14,5.39000e-02,4.660000e-03,-4.660000e-03,,,,,,,,,,,,,,,,,,,,,2455006.575680,0.001000,-0.001000,0,BJD,Kepler,,,,
2257,Kepler-244,c,Kepler-244 c,Transit,3,9.76729200,0.00004600,-0.00004600,0,0.087000,,,0,,,,,,,,,,,,,,0.183,0.078,-0.078,0,,,,,0,1,0,1,19h08m58.24s,287.242680,+42d18m04.9s,42.301369,928.00,76.23,-84.44,0,15.604,,0,Kepler-band,15.545,,0,5554.00,200.00,-200.00,0,,,,,0.80,0.34,-0.34,0,2014-05-14,9.38000e-02,8.120000e-03,-8.120000e-03,,,,,,,,,,,,,,,,,,,,,2455019.579030,0.002290,-0.002290,0,BJD,Kepler,,,,
2258,Kepler-244,d,Kepler-244 d,Transit,3,20.05040100,0.00013000,-0.00013000,0,0.140000,,,0,,,,,,,,,,,,,,0.206,0.087,-0.087,0,,,,,0,1,0,1,19h08m58.24s,287.242680,+42d18m04.9s,42.301369,928.00,76.23,-84.44,0,15.604,,0,Kepler-band,15.545,,0,5554.00,200.00,-200.00,0,,,,,0.80,0.34,-0.34,0,2014-05-14,1.51000e-01,1.310000e-02,-1.310000e-02,,,,,,,,,,,,,,,,,,,,,2455021.087180,0.003770,-0.003770,0,BJD,Kepler,,,,
2259,Kepler-245,b,Kepler-245 b,Transit,4,7.49019000,0.00001900,-0.00001900,0,0.071000,,,0,,,,,,,,,,,,,,0.229,0.016,-0.016,0,,,,,1,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,866.00,26.82,-25.92,0,15.599,,0,Kepler-band,15.597,,0,5100.00,100.00,-100.00,0,,,,,0.80,0.05,-0.05,0,2014-05-14,8.20000e-02,2.500000e-03,-2.500000e-03,,,,,,,,,,,,,,,,,,,,,2455007.949190,0.001320,-0.001320,0,BJD,Kepler,,,,
2260,Kepler-245,c,Kepler-245 c,Transit,4,17.46081200,0.00007600,-0.00007600,0,0.124000,,,0,,,,,,,,,,,,,,0.194,0.015,-0.015,0,,,,,1,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,866.00,26.82,-25.92,0,15.599,,0,Kepler-band,15.597,,0,5100.00,100.00,-100.00,0,,,,,0.80,0.05,-0.05,0,2014-05-14,1.43000e-01,4.400000e-03,-4.400000e-03,,,,,,,,,,,,,,,,,,,,,2454970.264410,0.002560,-0.002560,0,BJD,Kepler,,,,
2261,Kepler-245,d,Kepler-245 d,Transit,4,36.27710800,0.00017300,-0.00017300,0,0.202000,,,0,,,,,,,,,,,,,,0.270,0.019,-0.019,0,,,,,1,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,866.00,26.82,-25.92,0,15.599,,0,Kepler-band,15.597,,0,5100.00,100.00,-100.00,0,,,,,0.80,0.05,-0.05,0,2014-05-14,2.33000e-01,7.100000e-03,-7.100000e-03,,,,,,,,,,,,,,,,,,,,,2455034.277970,0.002640,-0.002640,0,BJD,Kepler,,,,
2262,Kepler-245,e,Kepler-245 e,Transit,4,3.21982106,0.00000474,-0.00000474,0,,,,,,,,,,,,,,,,,,0.156,0.007,-0.005,0,,,,,0,1,0,1,19h26m33.35s,291.638965,+42d26m10.7s,42.436317,866.00,26.82,-25.92,0,15.599,,0,Kepler-band,15.597,,0,5100.00,100.00,-100.00,0,,,,,0.80,0.05,-0.05,0,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,2454966.003100,0.001190,-0.001190,0,JD,Kepler,,,,
2263,Kepler-246,b,Kepler-246 b,Transit,2,4.60182000,0.00000800,-0.00000800,0,0.052000,,,0,,,,,,,,,,,,,,0.209,0.107,-0.107,0,,,,,0,1,0,1,19h45m56.02s,296.483427,+42d39m48.3s,42.663429,736.00,102.88,-65.83,0,15.024,,0,Kepler-band,15.042,,0,5206.00,200.00,-200.00,0,,,,,0.83,0.42,-0.42,0,2014-05-14,7.07000e-02,8.100000e-03,-8.100000e-03,,,,,,,,,,,,,,,,,,,,,2455002.978870,0.000960,-0.000960,0,BJD,Kepler,,,,
